"~id","~start_node_id","~end_node_id","~relationship_type"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917541122268987524","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:132","CONDUCTED"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917541122268987525","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:133","CONDUCTED"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917541122268987526","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:134","CONDUCTED"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917542221780615274","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:106","USES_INFRA"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917542221780615275","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:107","USES_INFRA"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917542221780615276","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:108","USES_INFRA"
"5:f75dc485-148f-4285-919b-c89869e3b900:6917542221780615277","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:109","USES_INFRA"
"5:f75dc485-148f-4285-919b-c89869e3b900:6919799519152439387","4:f75dc485-148f-4285-919b-c89869e3b900:101","4:f75dc485-148f-4285-919b-c89869e3b900:91","EXPLOITS"
"5:f75dc485-148f-4285-919b-c89869e3b900:1152934698746380393","4:f75dc485-148f-4285-919b-c89869e3b900:105","4:f75dc485-148f-4285-919b-c89869e3b900:102","USES_INFRA"
"5:f75dc485-148f-4285-919b-c89869e3b900:1155186498560065641","4:f75dc485-148f-4285-919b-c89869e3b900:105","4:f75dc485-148f-4285-919b-c89869e3b900:103","USES_INFRA"
"5:f75dc485-148f-4285-919b-c89869e3b900:1157438298373750889","4:f75dc485-148f-4285-919b-c89869e3b900:105","4:f75dc485-148f-4285-919b-c89869e3b900:104","USES_INFRA"
"rel-101","pv-actor","ddos-technique","USES"
"rel-102","pv-actor","cpp-website","TARGETS"

"rel-103","ol-actor","ol-malware","USES"
"rel-104","ol-actor","Vietnam","ACTIVE_IN"

"rel-105","mp-actor","PlugX","USES"
"rel-106","mp-actor","cobalt-strike","USES"
"rel-107","mp-actor","Southeast Asia","ACTIVE_IN"

"rel-108","naikon-actor","aria-body","USES"
"rel-109","naikon-actor","asean-governments","TARGETS"
"rel-110","naikon-actor","China","ACTIVE_IN"

